id,ident,name,name_zh,source
70,AYWD,Wapenamanda Airport,瓦佩纳曼达机场,llm:codex:deepseek-v4.1-flash
73,UB12,Nasosnaya Air Base,纳索斯纳亚空军基地,llm:codex:deepseek-v4.1-flash
77,UB18,Baku Kala Air Base,巴库卡拉空军基地,llm:codex:deepseek-v4.1-flash
78,UG11,Dollyar Air Base,多利亚尔空军基地,llm:codex:deepseek-v4.1-flash
89,LBPG,Graf Ignatievo Air Base,格拉夫·伊格纳蒂耶沃空军基地,llm:codex:deepseek-v4.1-flash
111,BG-JAM,Bezmer Air Base,贝兹梅尔空军基地,llm:codex:deepseek-v4.1-flash
116,BGTL,Pituffik Space Base,皮图菲克太空基地,llm:codex:deepseek-v4.1-flash
275,SBAC,Aracati Dragão do Mar Regional Airport,阿拉卡蒂地区机场,llm:codex:deepseek-v4.1-flash
329,SDIY,João Durval Carneiro Airport,若昂·杜瓦尔·卡内罗机场,llm:codex:deepseek-v4.1-flash
388,BR-2182,Russas - João de Deus Regional Airport,鲁萨斯-若昂·德·德乌斯地区机场,llm:codex:deepseek-v4.1-flash
517,SBPG,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,蓬塔格罗萨机场,llm:codex:deepseek-v4.1-flash
575,SBRD,Maestro Marinho Franco Airport,马埃斯特罗·马里尼奥·佛朗哥机场,llm:codex:deepseek-v4.1-flash
624,CAJ4,Anahim Lake Airport,阿纳希姆湖机场,llm:codex:deepseek-v4.1-flash
643,CAT4,Qualicum Beach Airport,夸利库姆海滩机场,llm:codex:deepseek-v4.1-flash
657,CAZ5,Cache Creek-Ashcroft Regional Airport,卡什克里克-阿什克罗夫特地区机场,llm:codex:deepseek-v4.1-flash
1293,CYLS,Barrie-Lake Simcoe Regional Airport,巴里-锡姆科湖地区机场,llm:codex:deepseek-v4.1-flash
1294,CNC3,Brampton-Caledon Airport,布兰普顿-卡利登机场,llm:codex:deepseek-v4.1-flash
1340,CYKM,Kincardine Municipal Airport,金卡丁市机场,llm:codex:deepseek-v4.1-flash
1649,LYUZ,Ponikve Airport,波尼克韦机场,llm:codex:deepseek-v4.1-flash
1655,CYAH,La Grande-4 Airport,拉格朗德-4机场,llm:codex:deepseek-v4.1-flash
1658,CYAQ,Kasabonika Airport,卡萨博尼卡机场,llm:codex:deepseek-v4.1-flash
